민방위대피시설명,위도,경도,민방위대피시설면적,대피가능인원수,카운트
2호선 종합운동장역,37.51096837,127.0733561,18388,22288,7153.0
2호선 잠실새내역,37.51156865,127.0863731,8227,9972,4448.0
2호선 잠실역,37.51332,127.1003147,4752,5760,2358.0
잠실성당 지하강의실,37.51038157,127.083241,874,1059,2173.0
잠실종합상가,37.50578208,127.0843171,1518,1840,3927.0
교통회관,37.51565091,127.1054668,2340,2836,376.0
잠실우성4차아파트 전동 지하,37.50269134,127.0821829,7920,9600,10142.0
한양2차아파트 지하,37.50472452,127.1159468,8250,10000,6069.0
문정1동주민센터,37.490073,127.1241831,165,200,2901.0
서울시농수산식품공사 지하주차장,37.49646652,127.1134552,2785,3375,9391.0
풍납2동주민센터 지하 전체,37.52875526,127.1167714,196,237,9356.0
국민연금관리공단,37.51572714,127.1007161,541,655,2793.0
미성아파트 전동 지하,37.50592797,127.1198573,3501,4243,4853.0
아시아선수촌아파트 동별 지하,37.50867533,127.074779,8625,10454,4465.0
우성아파트 전동 지하,37.50832384,127.072028,8625,10454,4454.0
엠타워 지하주차장,37.51146419,127.0812153,528,640,1072.0
삼성생명 지하주차장,37.538242,127.1228916,568,688,1663.0
가락삼익아파트 전동 지하,37.50557702,127.1211913,9203,11155,3840.0
송파2동주민센터 지하,37.50231986,127.1167392,211,255,3163.0
대림아파트 전동 지하,37.4994998,127.1184674,1030,1248,4839.0
롯데월드 지하주차장,37.51131078,127.0981404,14341,17383,5873.0
송파구청,37.51447565,127.1058587,4425,5363,1848.0
보화2차아파트,37.49032565,127.1488203,920,1115,7505.0
MBC아카데미,37.50912221,127.0802853,990,1200,3382.0
삼전동주민센터,37.50272334,127.0925242,198,240,1199.0
문정시영아파트 5동 지하,37.49086325,127.136383,7920,9600,8419.0
오륜동주민센터 지하,37.5155568,127.1342743,231,280,2828.0
서경빌딩,37.51139074,127.0831878,2607,3160,1636.0
잠실본동 현대아파트 지하,37.50427836,127.0854916,3719,4507,3752.0
연암빌딩,37.49674817,127.1367691,184,223,2889.0
장지동 현대아파트,37.48578477,127.130354,713,864,3388.0
마천1동주민센터 지하,37.49600417,127.1499488,254,307,3021.0
영빌딩,37.49753397,127.1335182,408,494,4889.0
유니팜코리아 지하주차장,37.49699021,127.1362765,862,1044,1628.0
위너스 빌딩2,37.51079178,127.0789479,1584,1920,368.0
위너스 빌딩1,37.5110477,127.0788848,2880,3490,1149.0
서일빌딩,37.51142403,127.0819617,2970,3600,805.0
올림피아 빌딩 주차장,37.50996632,127.0791552,8497,10299,967.0
해태그린피아 빌라트,37.515691,127.1164976,2720,3296,884.0
해동빌딩,37.51397597,127.1160154,800,969,5949.0
아이코리아 지하주차장,37.48275686,127.1340437,2211,2680,9395.0
거여1동현대1차아파트,37.49361482,127.1410695,5573,6755,3736.0
대신빌딩,37.50459255,127.1068446,1980,2400,1254.0
아남아파트,37.5004636,127.1460719,2611,3164,3113.0
거여2동주민센터,37.49353933,127.1468274,400,484,3888.0
현대2차아파트 201동 지하주차장,37.49475788,127.1465177,1400,1696,2659.0
수협중앙회,37.51638252,127.1054768,4292,5202,3187.0
가락한신아파트,37.48987023,127.1216273,2739,3320,2991.0
문정1차현대아파트 지하주차장,37.48569592,127.1258764,2970,3600,1977.0
태문빌딩,37.50526699,127.1062981,2247,2723,201.0
백암빌딩,37.49549685,127.124382,512,620,3997.0
"송파구의회,구민회관 지하주차장",37.50235857,127.0934919,2970,3600,2589.0
서울아산병원 동관 지하주차장,37.5251582,127.1095256,48576,58800,14585.0
동아한가람아파트 지하주차장,37.53750369,127.1152281,3097,3753,9076.0
동아상가 지하,37.53704917,127.1156574,660,800,3563.0
기영아파트,37.49736323,127.1524982,653,791,825.0
웅산빌딩,37.51190341,127.1125511,640,775,4542.0
장지동주민센터 지하,37.48696457,127.1324366,330,400,4106.0
두암빌딩,37.50509435,127.1059088,1782,2160,1418.0
