민방위대피시설명,민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,관리기관명,데이터기준일자
2호선 종합운동장역,2호선 종합운동장역,"서울특별시 송파구 올림픽로 지하 23 (잠실동, 종합운동장역)",,37.51096837,127.0733561,18388,22288,Y,서울특별시 송파구청,2021-09-14
2호선 잠실새내역,2호선 잠실새내역,"서울특별시 송파구 올림픽로 지하 140 (잠실동, 신천역)",,37.51156865,127.0863731,8227,9972,Y,서울특별시 송파구청,2021-09-14
2호선 잠실역,2호선 잠실역,"서울특별시 송파구 올림픽로 지하 265 (잠실동, 잠실역2호선)",,37.51332,127.1003147,4752,5760,Y,서울특별시 송파구청,2021-09-14
잠실성당 지하강의실,잠실성당 지하강의실,"서울특별시 송파구 올림픽로12길 9 (잠실동, 잠실천주교회)",,37.51038157,127.083241,874,1059,Y,서울특별시 송파구청,2021-09-14
잠실종합상가,잠실종합상가,"서울특별시 송파구 백제고분로 157 (잠실동, 반도가구전시장)",,37.50578208,127.0843171,1518,1840,Y,서울특별시 송파구청,2021-09-14
교통회관,교통회관,"서울특별시 송파구 올림픽로 319 (신천동, 새마을 교통회관)",,37.51565091,127.1054668,2340,2836,Y,서울특별시 송파구청,2021-09-14
잠실우성4차아파트 전동 지하,잠실우성4차아파트 전동 지하,"서울특별시 송파구 백제고분로18길 30 (잠실동, 우성아파트)",,37.50269134,127.0821829,7920,9600,Y,서울특별시 송파구청,2021-09-14
한양2차아파트 지하,한양2차아파트 지하,"서울특별시 송파구 가락로 192 (송파동, 2차한양아파트)",,37.50472452,127.1159468,8250,10000,Y,서울특별시 송파구청,2021-09-14
문정1동주민센터,문정1동주민센터,"서울특별시 송파구 동남로 116 (문정동, 문정1동주민센터)",,37.490073,127.1241831,165,200,Y,서울특별시 송파구청,2021-09-14
서울시농수산식품공사 지하주차장,서울시농수산식품공사 지하주차장,"서울특별시 송파구 양재대로 932 (가락동, 가락농수산물시장)",,37.49646652,127.1134552,2785,3375,Y,서울특별시 송파구청,2021-09-14
풍납2동주민센터 지하 전체,풍납2동주민센터 지하 전체,"서울특별시 송파구 토성로 64 (풍납동, 풍납2동주민센터)",,37.52875526,127.1167714,196,237,Y,서울특별시 송파구청,2021-09-14
국민연금관리공단,국민연금관리공단,"서울특별시 송파구 올림픽로35다길 13 (신천동, 국민연금공단)",,37.51572714,127.1007161,541,655,Y,서울특별시 송파구청,2021-09-14
미성아파트 전동 지하,미성아파트 전동 지하,"서울특별시 송파구 오금로32길 10 (송파동, 미성맨션)",,37.50592797,127.1198573,3501,4243,Y,서울특별시 송파구청,2021-09-14
아시아선수촌아파트 동별 지하,아시아선수촌아파트 동별 지하,"서울특별시 송파구 올림픽로4길 15 (잠실동, 아시아선수촌아파트)",,37.50867533,127.074779,8625,10454,Y,서울특별시 송파구청,2021-09-14
우성아파트 전동 지하,우성아파트 전동 지하,서울특별시 송파구 올림픽로4길 42 (잠실동),,37.50832384,127.072028,8625,10454,Y,서울특별시 송파구청,2021-09-14
엠타워 지하주차장,엠타워 지하주차장,"서울특별시 송파구 올림픽로 96 (잠실동, 동신빌딩)",,37.51146419,127.0812153,528,640,Y,서울특별시 송파구청,2021-09-14
삼성생명 지하주차장,삼성생명 지하주차장,서울특별시 송파구 올림픽로 633 (풍납동),,37.538242,127.1228916,568,688,Y,서울특별시 송파구청,2021-09-14
가락삼익아파트 전동 지하,가락삼익아파트 전동 지하,"서울특별시 송파구 오금로 252 (송파동, 가락삼익맨숀)",,37.50557702,127.1211913,9203,11155,Y,서울특별시 송파구청,2021-09-14
송파2동주민센터 지하,송파2동주민센터 지하,"서울특별시 송파구 송이로 32(송파동, 송파2동주민센터)",,37.50231986,127.1167392,211,255,Y,서울특별시 송파구청,2021-09-14
대림아파트 전동 지하,대림아파트 전동 지하,"서울특별시 송파구 송이로 88 (가락동, 가락대림아파트)",,37.4994998,127.1184674,1030,1248,Y,서울특별시 송파구청,2021-09-14
롯데월드 지하주차장,롯데월드 지하주차장,"서울특별시 송파구 올림픽로 240 (잠실동, 롯데월드)",,37.51131078,127.0981404,14341,17383,Y,서울특별시 송파구청,2021-09-14
송파구청,송파구청,"서울특별시 송파구 올림픽로 326 (신천동, 송파구청)",,37.51447565,127.1058587,4425,5363,Y,서울특별시 송파구청,2021-09-14
보화2차아파트,보화2차아파트,"서울특별시 송파구 오금로68길 33 (거여동, 보화아파트)",,37.49032565,127.1488203,920,1115,Y,서울특별시 송파구청,2021-09-14
MBC아카데미,MBC아카데미,"서울특별시 송파구 백제고분로9길 10 (잠실동, MBC아카데미)",,37.50912221,127.0802853,990,1200,Y,서울특별시 송파구청,2021-09-14
삼전동주민센터,삼전동주민센터,"서울특별시 송파구 백제고분로 236 (삼전동, 삼전동주민센터)",,37.50272334,127.0925242,198,240,Y,서울특별시 송파구청,2021-09-14
문정시영아파트 5동 지하,문정시영아파트 5동 지하,"서울특별시 송파구 송이로31길 56 (문정동, 문정시영아파트)",,37.49086325,127.136383,7920,9600,Y,서울특별시 송파구청,2021-09-14
오륜동주민센터 지하,오륜동주민센터 지하,"서울특별시 송파구 양재대로 1232 (방이동, 오륜동주민센터)",,37.5155568,127.1342743,231,280,Y,서울특별시 송파구청,2021-09-14
서경빌딩,서경빌딩,"서울특별시 송파구 올림픽로 114 (잠실동, 서경빌딩)",,37.51139074,127.0831878,2607,3160,Y,서울특별시 송파구청,2021-09-14
잠실본동 현대아파트 지하,잠실본동 현대아파트 지하,"서울특별시 송파구 백제고분로18길 7 (잠실동, 현대아파트)",,37.50427836,127.0854916,3719,4507,Y,서울특별시 송파구청,2021-09-14
