동별,계,남,여
풍납1동         ,12150,5971,6179
풍납2동         ,24057,11387,12670
거여1동         ,12122,6085,6037
거여2동         ,23701,11546,12155
마천1동         ,18340,9400,8940
마천2동         ,17793,9093,8700
방이1동         ,15266,7379,7887
방이2동         ,25923,11842,14081
오륜동          ,17758,8680,9078
오금동          ,37645,18264,19381
송파1동         ,23551,10988,12563
송파2동         ,18722,9025,9697
석촌동          ,30926,14655,16271
삼전동          ,29272,13598,15674
가락본동        ,25430,12575,12855
가락1동         ,27516,13349,14167
가락2동         ,31382,15312,16070
문정1동         ,19613,9662,9951
문정2동         ,28727,13143,15584
장지동          ,28829,13880,14949
위례동          ,44669,21766,22903
잠실본동        ,27834,13275,14559
잠실2동         ,34939,16693,18246
잠실3동         ,33983,16097,17886
잠실4동         ,21209,10216,10993
잠실6동         ,16494,7820,8674
잠실7동         ,9409,4381,5028
